respondent_id,role,class_name,submitted_at,S0.1,S0.2,S0.3,S0.4,S1.1,S1.1__freetext,S1.2,S1.3,S1.4,S1.5,S1.6,S2.1,S2.2,S2.3,S2.4,S2.4__freetext,S2.5,S3.1,S3.2,S3.3,S3.4,S3.5,S3.6,S3.7,S4.1,S4.2,S4.3,S4.4,S4.5,S5.1,S5.2,S5.3,S5.4,S5.5,S6.1,S6.2,S6.3,S6.4,S7.1,S7.2,S7.3
S011,student,1AHBG,2026-05-05T10:18:40.7966667,10. Schulstufe,Sonstiger Schwerpunkt,4,"Ja, regelmäßig",ChatGPT|Google Gemini,Leeeens,Nein,Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Übersetzungen",Smartphone,2,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik|Physik,,"Besser erklären, keine Fehler machen, Aber nicht zuviel helfen das man selber noch was lernen kann","Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Sich an mein Lerntempo und meinen Wissensstand anpassen",Schritt-für-Schritt-Anleitungen,"Den nächsten Lösungsschritt zeigen, aber nicht die ganze Lösung",4,Beides wäre hilfreich,,3,3,4,3,4,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen",,,,,,,,,,,,
S012,student,1AHBG,2026-05-05T10:18:46.6233333,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,4,"Ja, regelmäßig",ChatGPT|Google Gemini,Claude,Nein,Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Zusammenfassungen erstellen",Smartphone,4,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Beides gleichermaßen,Deutsch|Physik|Programmierunterricht,,Realistischer ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Zusammenfassungen von Unterrichtsmaterial erstellen|Sich an mein Lerntempo und meinen Wissensstand anpassen",Schritt-für-Schritt-Anleitungen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Ja, vereinfachte Sprache wäre hilfreich",Realistischer,1,1,2,3,4,Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Gezielte Vorbereitung auf Prüfungen,1,1,Immer,4,2,4,"Finde ich gut, das hilft beim Lernen",Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig",Einfach irgendwas labbern,Besser beim Verstädnis der Unterrichtsmaterialien ,Ne
S013,student,1AHBG,2026-05-05T10:19:29.7733333,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,3,"Ja, regelmäßig",ChatGPT|Google Gemini,,Nein,Etwa einmal pro Woche,"Hausübungen lösen oder kontrollieren|Erklärungen zu Themen, die ich nicht verstehe|Prüfungsvorbereitung",Tablet,2,Seltener,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten",Weiß ich noch nicht,Angewandte Mathematik|Biologie|Englisch,,"Design muss ansprechend sein, einfache Eingabe und gute Antworten , genau zu den Fragen die ich stelle","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Zusammenfassungen von Unterrichtsmaterial erstellen|Stoff Schritt für Schritt erklären",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",2,Beides wäre hilfreich,Diagramme und genaue Antworten ,3,4,2,2,2,Gezielte Vorbereitung auf Prüfungen|Bessere Erklärungen als im Lehrbuch|Motivation und Abwechslung beim Lernen,1,2,Meistens,1,1,4,Nur wenn ich vorher informiert werde,Um häufige Missverständnisse zu erkennen|Um den Unterricht besser an unsere Fragen anzupassen,"Ja, Quellenangaben sind mir wichtig","Falsche Antworten
",Keine Ahnung ,
S014,student,1AHBG,2026-05-05T10:20:05.1233333,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,3,"Ja, ein paar Mal ausprobiert",ChatGPT|Google Gemini,,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)|Zum eigenständigen Vertiefen über den Unterricht hinaus",Weiß ich noch nicht,Programmierunterricht|Physik|Biologie,,Sichere antworten die auch richtig sind und auch nicht direkt ausgeben sondern erklären,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten",Das hängt vom Thema ab — ich möchte wählen können,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",3,Beides wäre hilfreich,Wissen Nicht die sachen die im unterricht kommen ,3,2,3,4,3,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben",2,2,Manchmal,3,2,1,Nur wenn ich vorher informiert werde,Um den Unterricht besser an unsere Fragen anzupassen,"Wäre nett, aber nicht entscheidend",Falsche antworten und einfach keine geduld,Weiß ich nicht genau,
S015,student,1AHBG,2026-05-05T10:20:28.7666667,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,2,"Ja, regelmäßig",Google Gemini|Claude Code,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Texte schreiben oder verbessern",Smartphone,3,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich zu Hause,Programmierunterricht|Physik,,Aufgabe lösen,Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Zusammenfassungen von Unterrichtsmaterial erstellen,"Kurze, knappe Antworten",Die komplette Lösung zeigen und erklären,3,"Ja, vereinfachte Sprache wäre hilfreich",,2,3,2,3,3,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Personalisiertes Lerntempo",4,3,Meistens,1,3,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen|Um zu sehen, ob der KI-Tutor gut funktioniert","Wäre nett, aber nicht entscheidend",Nicht antworten ,...,
S016,student,1AHBG,2026-05-05T10:20:46.4233333,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,4,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini|Claude Code|Claude Cowork,,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Zusammenfassungen erstellen|Programmieren und Fehlersuche im Code",Laptop,2,Seltener,"Beim Programmieren (Fehler finden, Code verstehen)|Um Texte zu verbessern oder Feedback zu bekommen",Hauptsächlich im Unterricht,,MGT,Nichts ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Zusammenfassungen von Unterrichtsmaterial erstellen","Kurze, knappe Antworten",Die komplette Lösung zeigen und erklären,1,"Nein, Deutsch reicht völlig",,1,4,1,2,3,Gezielte Vorbereitung auf Prüfungen,1,1,Selten,4,3,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig",Das sie lange um den heisen brei reden. Wenn ich mich an die KI wende ist das schon der letzte schritt der Verzweiflung und dan sollte die Antwort auf den Punkt sein,Nirgends wo ein auf dem Markt verbreitetes LLM nicht auch helfen kann.,
S017,student,1AHBG,2026-05-05T10:20:47.8200000,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,3,"Ja, regelmäßig",Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren",Smartphone,3,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich zu Hause,Physik|Angewandte Mathematik,Biosignal Verarbeitung,Gratis sein,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Sich an mein Lerntempo und meinen Wissensstand anpassen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Nein, Deutsch reicht völlig",Das wissen über den aktuellen lehrplan,3,2,4,3,4,"Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",3,3,Manchmal,4,1,4,Nur wenn ich vorher informiert werde,Um den Unterricht besser an unsere Fragen anzupassen,"Ja, Quellenangaben sind mir wichtig",Falsche Informationen,Schnellerer lehrnfortschritt,Nein
S018,student,1AHBG,2026-05-05T10:21:14.0800000,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,3,"Ja, regelmäßig",Google Gemini|ChatGPT,,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme",Hauptsächlich im Unterricht,Angewandte Mathematik|Programmierunterricht|Physik,,"besser erklären 
nicht lösungen sagen sondern erklären","Stoff Schritt für Schritt erklären|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Schritt-für-Schritt-Anleitungen,"Den nächsten Lösungsschritt zeigen, aber nicht die ganze Lösung",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,2,2,3,3,3,Gezielte Vorbereitung auf Prüfungen,3,3,Manchmal,1,3,2,Nur wenn ich vorher informiert werde,"Um zu sehen, ob der KI-Tutor gut funktioniert","Wäre nett, aber nicht entscheidend",wenn er falsche antworten liefert,sie erklären meistens anders als lehrkräfte,Nein 🙅🏼 
S019,student,1AHBG,2026-05-05T10:21:44.8966667,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,3,"Ja, regelmäßig",ChatGPT|Google Gemini,,Weiß nicht (z.B. Eltern zahlen),Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Zusammenfassungen erstellen|Hausübungen lösen oder kontrollieren",Smartphone,3,Etwa einmal pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Um Texte zu verbessern oder Feedback zu bekommen",Hauptsächlich zu Hause,Angewandte Mathematik|Physik|Programmierunterricht,,Er soll 100% korrekte Antworten geben und z.B in BSV Schaltungen Analysieren können ummir weiter zu helfen. Außerdem soll es reden können weil es mir viel mehr hilft wenn ichs höre anstatt mir durchlesen muss,"Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Sich an mein Lerntempo und meinen Wissensstand anpassen",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Nein, Deutsch reicht völlig",,3,2,2,3,1,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen",3,2,Meistens,1,3,3,"Finde ich gut, das hilft beim Lernen",Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend","Fehler, zu Hochgestochene Erklärungen",Besser verstehen und spontan Nachhilfe,
S020,student,1AHBG,2026-05-05T10:22:47.0866667,10. Schulstufe,Sonstiger Schwerpunkt,3,"Nein, noch nie",ChatGPT|Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Prüfungsvorbereitung",Smartphone,3,Mehrmals pro Woche,"Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme",Beides gleichermaßen,Physik|Angewandte Mathematik|Biologie,,Das mann mehr Bilder schicken kann und dass er schneller Bilder erstellt und zb auch skizzen schicken kann.,"Stoff Schritt für Schritt erklären|Sich an mein Lerntempo und meinen Wissensstand anpassen|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Das hängt vom Thema ab — ich möchte wählen können,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",3,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,3,2,4,2,3,Gezielte Vorbereitung auf Prüfungen|Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch,3,3,Selten,2,2,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Wäre nett, aber nicht entscheidend",Keine Ahnung ,Keine Ahnung ,
S021,student,1AHBG,2026-05-05T10:23:05.4966667,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,3,"Ja, regelmäßig",ChatGPT|Google Gemini|Microsoft Copilot,,Nein,Seltener,"Prüfungsvorbereitung|Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Beides gleichermaßen,,"MGT,BSV",Das es sich in den Fächern von mir gezielt auskennt und mir weiterhelfen kann ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Sich an mein Lerntempo und meinen Wissensstand anpassen|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,,3,2,3,3,3,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen|Individuelles Feedback auf meine Aufgaben",3,3,Manchmal,2,2,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend","Direkt den ganzen Lösungsweg zu sagen ,falsche Informationen weiterzuleiten als richtige Informationen",Besseres Verständnis,Nein
