respondent_id,role,class_name,submitted_at,L0.1,L0.1__freetext,L0.2,L0.3,L0.4,L1.1,L1.1__freetext,L1.2,L1.3,L1.4,L1.5,L2.1,L2.2,L2.3,L2.4,L2.5,L2.5__freetext,L3.1,L3.2,L3.3,L3.4,L3.5,L3.5__freetext,L3.6,L3.7,L4.1,L4.2,L4.3,L4.4,L5.1,L5.2,L5.3,L6.1,L6.2,L6.3,L6.3__freetext,L6.4,L7.1,L7.2,L7.3,L7.4,L7.5
T011,teacher,,2026-05-04T17:36:25.9400000,Programmierunterricht,,Unter 5 Jahre,3,"Ja, vereinzelt ausprobiert",ChatGPT|Perplexity,,Seltener,Aufgaben und Prüfungen erstellen,Nein,Die meisten nutzen KI regelmäßig,Selten (für bestimmte Themen/Projekte),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Nachhilfe-Ersatz für schwächere Schüler:innen|Vorbereitung auf Tests und Schularbeiten,"Nur wenn fertige Vorlagen vorhanden sind, die ich anpassen kann",Nur außerhalb des Unterrichts (zu Hause),Schüler:innen zum eigenständigen Lernen anregen|Bessere Vorbereitung der Schüler:innen auf Prüfungen,,Anpassung an meinen Lehrplan und meine Materialien|Auswertung der Schüler:innen-Nutzung (Lernfortschritt)|Fachliche Korrektheit der Antworten,3,Das soll je nach Workspace einstellbar sein,2,"Lernplattform/LMS (z.B. Moodle, MS Teams)",,"Wäre ein nettes Extra, aber nicht prioritär",,3,3,Förderung schwächerer Schüler:innen|Zeitnahe Rückmeldung auf Aufgaben,"Ja, aber nur wenn es im Workspace so konfiguriert ist",2,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",Keine dauerhafte Speicherung von Chat-Verläufen|Keine Weitergabe von Daten an Dritte,,Die Schulleitung zentral,2,3,"Habe davon gehört, kenne Details nicht","Ein No-Go wäre wenn der KI Tutor schon fertige Lösungen liefert, mit wenigen Klicks zu erreichen..",
T012,teacher,,2026-05-04T18:05:48.1900000,Programmierunterricht,,Über 15 Jahre,4,"Ja, vereinzelt ausprobiert",,Claude CLI,Täglich,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Texte verfassen oder korrigieren|Eigene Weiterbildung","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Nachhilfe-Ersatz für schwächere Schüler:innen|Vertiefung für leistungsstarke Schüler:innen,"Ja, wenn es einfach und schnell geht (unter 15 Min. pro Lektion)",Permanent verfügbar,Schüler:innen zum eigenständigen Lernen anregen|Individuellere Betreuung ermöglichen,,Fachliche Korrektheit der Antworten|Nachvollziehbare Quellenangaben,3,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",3,"Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Wäre ein nettes Extra, aber nicht prioritär",,4,2,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen,"Ja, das fördert kritisches Denken",2,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",2,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe",DSGVO-konforme Datenverarbeitung in der EU,,Die Schulleitung zentral,2,3,"Habe davon gehört, kenne Details nicht",-,
T013,teacher,,2026-05-04T19:34:41.2566667,Programmierunterricht,,Über 15 Jahre,4,"Ja, vereinzelt ausprobiert",ChatGPT|Microsoft Copilot,,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Eigene Weiterbildung",Nein,Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Nachhilfe-Ersatz für schwächere Schüler:innen|Differenzierung (unterschiedliche Niveaus in einer Klasse),"Ja, das klingt sinnvoll",Nur zu von mir definierten Zeiten,Entlastung bei Routinefragen der Schüler:innen|Schüler:innen zum eigenständigen Lernen anregen|Bessere Vorbereitung der Schüler:innen auf Prüfungen,,Fachliche Korrektheit der Antworten|Anpassung an meinen Lehrplan und meine Materialien|Einfache Erstellung von Workspaces,4,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",2,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch",strukturierte Lernstrecke mit integriertem Check,2,1,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen|Zeitnahe Rückmeldung auf Aufgaben,"Ja, das fördert kritisches Denken",3,"Ja, schulweite Regeln",Keine KI-Nutzung bei Prüfungen,4,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)",Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen|Regelmäßige Datenlöschung|Eltern-Informationspflicht bei Nutzung durch Minderjährige,,Jede Lehrperson für ihren eigenen Workspace,4,2,Gut informiert,Das Schüler untereinander Zugriff auf die Daten anderer Schüler haben,
T014,teacher,,2026-05-05T07:10:43.7900000,Biologie,,5–15 Jahre,4,"Nein, aber ich plane es",ChatGPT|Microsoft Copilot,Deepseek,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Texte verfassen oder korrigieren|Aufgaben und Prüfungen erstellen",Nein,Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Übungsphasen im Unterricht|Differenzierung (unterschiedliche Niveaus in einer Klasse)|Nachhilfe-Ersatz für schwächere Schüler:innen,"Ja, das klingt sinnvoll",Permanent verfügbar,Entlastung bei Routinefragen der Schüler:innen|Individuellere Betreuung ermöglichen|Modernisierung des Unterrichts,,Fachliche Korrektheit der Antworten|Keine Preisgabe von Lösungen an Schüler:innen|Einfache Erstellung von Workspaces,3,Das soll je nach Workspace einstellbar sein,3,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Elektronisches Klassenbuch",,"Wäre ein nettes Extra, aber nicht prioritär",,4,4,Personalisiertes Lernen (individuelle Lernpfade)|Entlastung bei Routineerklärungen|Forderung leistungsstarker Schüler:innen,"Ja, das fördert kritisches Denken",1,"Ja, schulweite Regeln","Nur grundlegende Funktionen wie Rechtschreibprüfung, Übersetzung, etc.",4,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)",DSGVO-konforme Datenverarbeitung in der EU,,Die Schulleitung zentral,3,4,"Habe davon gehört, kenne Details nicht","Im Moment sehe ich keine, aber vielleicht bin ich nicht genug informiert.",
T015,teacher,,2026-05-05T07:46:02.3500000,Programmierunterricht,,Über 15 Jahre,4,"Nein, aber ich plane es",ChatGPT|Microsoft Copilot,Claude Code,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Texte verfassen oder korrigieren","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Übungsphasen im Unterricht|Nachhilfe-Ersatz für schwächere Schüler:innen,"Ja, wenn es einfach und schnell geht (unter 15 Min. pro Lektion)",Nur zu von mir definierten Zeiten,Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen|Modernisierung des Unterrichts,,Fachliche Korrektheit der Antworten|Einfache Erstellung von Workspaces|Anpassung an meinen Lehrplan und meine Materialien,3,Das soll je nach Workspace einstellbar sein,2,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Wäre ein nettes Extra, aber nicht prioritär",,3,3,Förderung schwächerer Schüler:innen|Entlastung bei Routineerklärungen|Personalisiertes Lernen (individuelle Lernpfade),"Ja, aber nur wenn es im Workspace so konfiguriert ist",3,"Ja, schulweite Regeln","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)|Anonymisierte Chat-Verläufe",,Vorschriften einhalten,Die Schulleitung zentral,4,4,Kenne mich damit nicht aus,-,-
T016,teacher,,2026-05-05T07:58:02.4166667,Programmierunterricht,,Unter 5 Jahre,4,"Ja, vereinzelt ausprobiert","ChatGPT|Spezialtools (z.B. MagicSchool, Diffit)",,Mehrmals pro Woche,"Texte verfassen oder korrigieren|Aufgaben und Prüfungen erstellen|Unterrichtsvorbereitung (Materialien, Arbeitsblätter)","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Nachhilfe-Ersatz für schwächere Schüler:innen|Vertiefung für leistungsstarke Schüler:innen|Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor),"Ja, das klingt sinnvoll",Nur zu von mir definierten Zeiten,Schüler:innen zum eigenständigen Lernen anregen|Entlastung bei Routinefragen der Schüler:innen|Individuellere Betreuung ermöglichen,,Anpassung an meinen Lehrplan und meine Materialien|Einfache Erstellung von Workspaces|Auswertung der Schüler:innen-Nutzung (Lernfortschritt),4,Das soll je nach Workspace einstellbar sein,3,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Programmierwerkzeuge (z.B. GitHub, IDE-Integration)|Schulinterne Dateiablage",,"Wäre ein nettes Extra, aber nicht prioritär",,3,4,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen|Forderung leistungsstarker Schüler:innen,"Ja, das fördert kritisches Denken",2,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",4,"Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)|Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe",Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen|Eltern-Informationspflicht bei Nutzung durch Minderjährige|DSGVO-konforme Datenverarbeitung in der EU|Regelmäßige Datenlöschung,,Gemeinsam im Kollegium,3,3,"Habe davon gehört, kenne Details nicht",kA,
T017,teacher,,2026-05-05T08:47:04.0266667,Programmierunterricht,"Netzwerke, Cybersecurity",Über 15 Jahre,3,"Ja, vereinzelt ausprobiert",Microsoft Copilot|Google Gemini,,Etwa einmal pro Woche,Eigene Weiterbildung,"Ja, von der Schule bereitgestellt",Die meisten nutzen KI regelmäßig,Selten (für bestimmte Themen/Projekte),Differenzierung (unterschiedliche Niveaus in einer Klasse),"Nein, das ist mir zu aufwendig",Nur zu von mir definierten Zeiten,Entlastung bei Routinefragen der Schüler:innen,,Einfache Erstellung von Workspaces,2,Das soll je nach Workspace einstellbar sein,1,Keine Integration nötig,,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch",,2,2,Förderung schwächerer Schüler:innen,Bin unsicher,3,"Ja, aber jede Lehrperson legt eigene Regeln fest",Keine KI-Nutzung bei Prüfungen,2,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",DSGVO-konforme Datenverarbeitung in der EU,,Das sollte gesetzlich vorgegeben sein,2,2,Grundlegendes Verständnis,-,
T018,teacher,,2026-05-05T10:22:25.8066667,Programmierunterricht,"Elektronik, Regelungstechnik, Labor",Unter 5 Jahre,4,"Nein, aber ich plane es",ChatGPT,,Täglich,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Eigene Weiterbildung","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Übungsphasen im Unterricht|Vorbereitung auf Tests und Schularbeiten|Differenzierung (unterschiedliche Niveaus in einer Klasse),"Ja, das klingt sinnvoll",Permanent verfügbar,Schüler:innen zum eigenständigen Lernen anregen|Modernisierung des Unterrichts|Bessere Vorbereitung der Schüler:innen auf Prüfungen,,Fachliche Korrektheit der Antworten|Keine Preisgabe von Lösungen an Schüler:innen|Auswertung der Schüler:innen-Nutzung (Lernfortschritt),2,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",4,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Ja, das wäre für einige meiner Schüler:innen wichtig",,4,4,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen|Forderung leistungsstarker Schüler:innen,"Ja, aber nur wenn es im Workspace so konfiguriert ist",3,"Ja, schulweite Regeln","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte),DSGVO-konforme Datenverarbeitung in der EU|Eltern-Informationspflicht bei Nutzung durch Minderjährige|Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen|Regelmäßige Datenlöschung,,Das sollte gesetzlich vorgegeben sein,4,4,Grundlegendes Verständnis,"Sofortige Antwort der Ergebnisse, Falsche Antworten",
T019,teacher,,2026-05-05T13:42:08.2500000,,"Netzwerktechnik, Cybersecurity",5–15 Jahre,4,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini|DeepL,,Täglich,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Differenzierung und Individualisierung","Ja, von der Schule bereitgestellt",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Übungsphasen im Unterricht|Vorbereitung auf Tests und Schularbeiten|Nachhilfe-Ersatz für schwächere Schüler:innen,"Nur wenn fertige Vorlagen vorhanden sind, die ich anpassen kann",Permanent verfügbar,Individuellere Betreuung ermöglichen|Modernisierung des Unterrichts|Bessere Vorbereitung der Schüler:innen auf Prüfungen,,Fachliche Korrektheit der Antworten|Einfache Erstellung von Workspaces,1,"Nur Hinweise, niemals die Lösung",2,Keine Integration nötig,,Bin unsicher,,2,2,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen,"Ja, das fördert kritisches Denken",3,"Ja, schulweite Regeln",Keine KI-Nutzung bei Prüfungen,3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",DSGVO-konforme Datenverarbeitung in der EU|Keine dauerhafte Speicherung von Chat-Verläufen|Regelmäßige Datenlöschung|Keine Weitergabe von Daten an Dritte,,Die Schulleitung zentral,3,3,Grundlegendes Verständnis,Weitergabe der Daten,
T020,teacher,,2026-05-05T13:56:02.1066667,Programmierunterricht,SPY/ITP,5–15 Jahre,2,"Nein, aber ich plane es",Microsoft Copilot,,Mehrmals pro Woche,Eigene Weiterbildung,Nein,Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Nachhilfe-Ersatz für schwächere Schüler:innen|Vertiefung für leistungsstarke Schüler:innen|Übungsphasen im Unterricht,"Ja, das klingt sinnvoll",Permanent verfügbar,Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen|Entlastung bei Routinefragen der Schüler:innen,,Anpassung an meinen Lehrplan und meine Materialien|Einfache Erstellung von Workspaces|Fachliche Korrektheit der Antworten,3,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",4,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Wäre ein nettes Extra, aber nicht prioritär",,3,4,Entlastung bei Routineerklärungen|Förderung schwächerer Schüler:innen|Forderung leistungsstarker Schüler:innen,"Ja, das fördert kritisches Denken",2,Bin unsicher,"KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",DSGVO-konforme Datenverarbeitung in der EU|Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen|Eltern-Informationspflicht bei Nutzung durch Minderjährige|Regelmäßige Datenlöschung,,Jede Lehrperson für ihren eigenen Workspace,2,4,"Habe davon gehört, kenne Details nicht",.,
T021,teacher,,2026-05-05T13:56:10.7633333,Englisch|Deutsch,Ethik,Über 15 Jahre,4,"Ja, regelmäßig",ChatGPT|Microsoft Copilot,"Teachino, Cornelsen/Veritas Verlag KI-Agent",Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Texte verfassen oder korrigieren|Aufgaben und Prüfungen erstellen","Ja, von der Schule bereitgestellt",Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Übungsphasen im Unterricht|Vorbereitung auf Tests und Schularbeiten|Nachhilfe-Ersatz für schwächere Schüler:innen,"Ja, wenn es einfach und schnell geht (unter 15 Min. pro Lektion)",Keine Meinung,Entlastung bei Routinefragen der Schüler:innen|Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen,,Fachliche Korrektheit der Antworten|Einfache Erstellung von Workspaces|Auswertung der Schüler:innen-Nutzung (Lernfortschritt),3,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",3,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Schulinterne Dateiablage|Elektronisches Klassenbuch",,"Ja, das wäre für einige meiner Schüler:innen wichtig",,4,4,Personalisiertes Lernen (individuelle Lernpfade)|Entlastung bei Routineerklärungen|Förderung schwächerer Schüler:innen,"Ja, das fördert kritisches Denken",2,"Ja, schulweite Regeln","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe",DSGVO-konforme Datenverarbeitung in der EU|Keine Weitergabe von Daten an Dritte|Eltern-Informationspflicht bei Nutzung durch Minderjährige|Regelmäßige Datenlöschung,,Die Schulleitung zentral,2,3,Grundlegendes Verständnis,automatisierte Notengebung : nur Kompetenzmessung %,
T022,teacher,,2026-05-05T14:11:12.0433333,,Religion,5–15 Jahre,3,"Ja, vereinzelt ausprobiert",Google Gemini,,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Eigene Weiterbildung",Nein,Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Übungsphasen im Unterricht,"Ja, das klingt sinnvoll",Nur zu von mir definierten Zeiten,Schüler:innen zum eigenständigen Lernen anregen|Modernisierung des Unterrichts,,Anpassung an meinen Lehrplan und meine Materialien|Fachliche Korrektheit der Antworten|Nachvollziehbare Quellenangaben,3,"Nur Hinweise, niemals die Lösung",,Elektronisches Klassenbuch,,"Wäre ein nettes Extra, aber nicht prioritär",,3,2,Forderung leistungsstarker Schüler:innen,Bin unsicher,2,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",4,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen|Regelmäßige Datenlöschung,,Die Schulleitung zentral,3,3,"Habe davon gehört, kenne Details nicht",Ersetzen von persönlichem Austausch bei existenziellen Fragen,
T023,teacher,,2026-05-05T15:19:42.1766667,,"Medizinische Gerätetechnik, Biosignalverarbeitung",5–15 Jahre,3,"Nein, aber ich plane es",Microsoft Copilot,,Seltener,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)",Nein,Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Übungsphasen im Unterricht|Vorbereitung auf Tests und Schularbeiten|Vertiefung für leistungsstarke Schüler:innen,"Ja, wenn es einfach und schnell geht (unter 15 Min. pro Lektion)",Permanent verfügbar,Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen|Modernisierung des Unterrichts,,Fachliche Korrektheit der Antworten|Keine Preisgabe von Lösungen an Schüler:innen|Nachvollziehbare Quellenangaben,2,"Nur Hinweise, niemals die Lösung",,"Lernplattform/LMS (z.B. Moodle, MS Teams)",,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch",,4,4,Personalisiertes Lernen (individuelle Lernpfade)|Zeitnahe Rückmeldung auf Aufgaben|Förderung von Medienkompetenz und kritischem Denken,"Ja, das fördert kritisches Denken",4,"Ja, aber jede Lehrperson legt eigene Regeln fest",Keine KI-Nutzung bei Prüfungen,4,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe|Individuell zugeordnete Chat-Verläufe",Keine Weitergabe von Daten an Dritte|Eltern-Informationspflicht bei Nutzung durch Minderjährige|Keine dauerhafte Speicherung von Chat-Verläufen,,Die Schulleitung zentral,1,4,Kenne mich damit nicht aus,"Fertige Antworten liefern, falsche Inhalte vermitteln ",Ein Einsatz und eine Schulung wären wünschenswert . 
T024,teacher,,2026-05-05T17:30:58.5633333,,Medientechnik,Über 15 Jahre,4,"Ja, vereinzelt ausprobiert",ChatGPT|Microsoft Copilot|Google Gemini,,Etwa einmal pro Woche,"Texte verfassen oder korrigieren|Unterrichtsvorbereitung (Materialien, Arbeitsblätter)",Nein,Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Übungsphasen im Unterricht,"Nur wenn fertige Vorlagen vorhanden sind, die ich anpassen kann",Permanent verfügbar,Entlastung bei Routinefragen der Schüler:innen|Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen,,Einfache Erstellung von Workspaces,1,Das soll je nach Workspace einstellbar sein,1,"Lernplattform/LMS (z.B. Moodle, MS Teams)",,"Wäre ein nettes Extra, aber nicht prioritär",,2,2,Entlastung bei Routineerklärungen|Förderung schwächerer Schüler:innen,Bin unsicher,3,"Ja, aber jede Lehrperson legt eigene Regeln fest",Keine KI-Nutzung bei Prüfungen,3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)",DSGVO-konforme Datenverarbeitung in der EU|Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen,,Die Schulleitung zentral,2,3,"Habe davon gehört, kenne Details nicht",Dass den Schü. selbstständiges Denken und kritisches Hinterfragen der Antworten abhanden kommt.,
T025,teacher,,2026-05-06T06:17:22.8400000,Programmierunterricht,"Medientechnik, Projektunterricht",5–15 Jahre,4,"Ja, vereinzelt ausprobiert",ChatGPT|Google Gemini|Microsoft Copilot,,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Differenzierung und Individualisierung|Eigene Weiterbildung","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Differenzierung (unterschiedliche Niveaus in einer Klasse)|Nachhilfe-Ersatz für schwächere Schüler:innen|Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor),"Ja, das klingt sinnvoll",Permanent verfügbar,Entlastung bei Routinefragen der Schüler:innen|Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen,,Fachliche Korrektheit der Antworten|Anpassung an meinen Lehrplan und meine Materialien|Keine Preisgabe von Lösungen an Schüler:innen,4,Das soll je nach Workspace einstellbar sein,4,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Schulinterne Dateiablage|Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Wäre ein nettes Extra, aber nicht prioritär",Anpassung pro Fach an konkret meine Vorgaben,4,4,Personalisiertes Lernen (individuelle Lernpfade)|Entlastung bei Routineerklärungen|Förderung schwächerer Schüler:innen,"Ja, aber nur wenn es im Workspace so konfiguriert ist",3,"Ja, schulweite Regeln","Nur grundlegende Funktionen wie Rechtschreibprüfung, Übersetzung, etc.",4,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe|Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)",DSGVO-konforme Datenverarbeitung in der EU|Keine Weitergabe von Daten an Dritte|Keine dauerhafte Speicherung von Chat-Verläufen,,Die Schulleitung zentral,3,4,Grundlegendes Verständnis,"Lösungen und Prüfungsfragen preisgeben, NICHT an die Schule angepasst = falsche/andere Lösungswege als gewünscht werden übermittelt",Es wäre eine tolle Erleichterung! :)
T026,teacher,,2026-05-06T09:29:05.5133333,Programmierunterricht,"NSCS, ITSI",5–15 Jahre,3,"Ja, vereinzelt ausprobiert",ChatGPT,"GitHub Copilot CLI mit Claude, Codex, etc",Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Eigene Weiterbildung","Ja, von der Schule bereitgestellt",Die meisten nutzen KI regelmäßig,Selten (für bestimmte Themen/Projekte),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Nachhilfe-Ersatz für schwächere Schüler:innen|Vertiefung für leistungsstarke Schüler:innen,"Ja, das klingt sinnvoll",Permanent verfügbar,Schüler:innen zum eigenständigen Lernen anregen|Entlastung bei Routinefragen der Schüler:innen|Modernisierung des Unterrichts,,Keine Preisgabe von Lösungen an Schüler:innen|Fachliche Korrektheit der Antworten|Einfache Erstellung von Workspaces,2,Das soll je nach Workspace einstellbar sein,,"Lernplattform/LMS (z.B. Moodle, MS Teams)",,Bin unsicher,,3,3,Forderung leistungsstarker Schüler:innen|Entlastung bei Routineerklärungen,"Ja, das fördert kritisches Denken",3,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,Individuell zugeordnete Chat-Verläufe,DSGVO-konforme Datenverarbeitung in der EU|Keine Weitergabe von Daten an Dritte|Regelmäßige Datenlöschung,,Die Schulleitung zentral,3,3,Grundlegendes Verständnis,Wenn der Tutor ohne viel Widerstand die Lösung für eine Übung generiert.,
